Date,Dealer,City ,Product ,Vehicle,Shipped  ,Returned
01-01-2007,17,NAG,321123678,Minitruck,15,1
01-01-2007,16,NAG,121890987,Vikram,1,0
01-01-2007,10,PUN,123679678,Vikram,18,1
01-01-2007,33,KOL,333890567,AutoRick,5,1
01-01-2007,17,NAG,111679789,AutoRick,13,1
01-01-2007,12,PUN,121123890,AutoRick,14,3
01-01-2007,12,PUN,123123234,Minitruck,2,0
01-01-2007,17,NAG,232456345,Minitruck,40,2
01-01-2007,24,KOL,213056456,Minitruck,8,1
01-01-2007,36,KOL,333678765,Vikram,19,0
01-01-2007,17,NAG,321679678,AutoRick,6,0
01-01-2007,33,KOL,121123234,Vikram,19,0
01-01-2007,3,MUM,321890678,Vikram,18,0
01-01-2007,20,NAG,333678123,Vikram,24,5
01-01-2007,33,KOL,213123123,Vikram,24,5
01-01-2007,8,PUN,321457987,AutoRick,13,0
01-01-2007,35,KOL,333890567,Minitruck,16,0
01-01-2007,33,KOL,112890567,Vikram,5,1
01-01-2007,28,KOL,343679678,Vikram,1,0
01-01-2007,41,GOA,343056789,Vikram,19,1
01-01-2007,49,GOA,333345987,Vikram,9,2
01-01-2007,16,NAG,222890678,AutoRick,9,0
01-01-2007,3,MUM,213123234,Minitruck,46,12
01-01-2007,28,KOL,111678345,AutoRick,3,0
01-01-2007,21,NAG,123345345,AutoRick,13,0
01-01-2007,8,PUN,123567456,AutoRick,3,0
01-01-2007,34,KOL,343345345,Minitruck,12,1
01-01-2007,14,PUN,222345765,AutoRick,8,0
01-01-2007,47,GOA,213890765,Vikram,12,1
01-01-2007,21,NAG,213070789,Minitruck,33,2
01-01-2007,47,GOA,343070567,AutoRick,9,0
01-01-2007,36,KOL,232679987,AutoRick,6,0
01-01-2007,15,PUN,333890765,Minitruck,38,2
01-01-2007,12,PUN,333456987,AutoRick,15,3
01-01-2007,33,KOL,343679345,Vikram,2,0
01-01-2007,17,NAG,213678123,Minitruck,32,0
01-01-2007,7,MUM,213056456,AutoRick,5,1
01-01-2007,22,KOL,111678678,Vikram,17,0
01-01-2007,8,PUN,343679234,AutoRick,8,0
01-01-2007,43,GOA,343567789,Minitruck,35,0
01-01-2007,3,MUM,343345456,Minitruck,9,1
01-01-2007,12,PUN,112679234,Minitruck,35,3
01-01-2007,2,MUM,333679789,Minitruck,31,2
01-01-2007,33,KOL,333056789,Vikram,18,1
01-01-2007,16,NAG,232070678,AutoRick,4,0
01-01-2007,28,KOL,222123789,AutoRick,14,3
01-01-2007,33,KOL,112345123,Vikram,13,0
01-01-2007,14,PUN,111056234,Minitruck,16,1
01-01-2007,28,KOL,343679567,Minitruck,46,13
01-01-2007,14,PUN,343457987,Vikram,10,0
01-01-2007,35,KOL,111679567,Minitruck,1,0
01-01-2007,17,NAG,343678987,Vikram,25,5
01-01-2007,16,NAG,343567567,Vikram,4,0
01-01-2007,12,PUN,222056567,AutoRick,3,0
01-01-2007,16,NAG,123567456,AutoRick,12,0
01-01-2007,15,PUN,121567123,Vikram,2,0
01-01-2007,34,KOL,333345567,Vikram,16,0
01-01-2007,21,NAG,343457345,Vikram,9,2
01-01-2007,17,NAG,112345678,Vikram,25,6
01-01-2007,3,MUM,112345678,Minitruck,48,4
01-01-2007,16,NAG,222456678,AutoRick,14,3
01-01-2007,22,KOL,321070789,Minitruck,13,2
01-01-2007,16,NAG,112456456,Minitruck,7,0
01-01-2007,6,MUM,213890456,Minitruck,28,1
01-01-2007,16,NAG,222678987,Minitruck,2,0
01-01-2007,49,GOA,321457567,Minitruck,48,5
01-01-2007,36,KOL,222678123,Vikram,17,1
01-01-2007,10,PUN,123456890,Minitruck,14,2
01-01-2007,21,NAG,121457234,Minitruck,30,1
01-01-2007,7,MUM,232890567,AutoRick,2,0
01-01-2007,17,NAG,222679345,AutoRick,7,0
01-01-2007,47,GOA,232457456,AutoRick,7,0
01-01-2007,16,NAG,111890678,Vikram,24,5
01-01-2007,14,PUN,333056345,AutoRick,12,0
01-01-2007,34,KOL,112890789,Minitruck,25,1
01-01-2007,17,NAG,333070234,AutoRick,7,0
01-01-2007,28,KOL,343567345,AutoRick,1,0
01-01-2007,22,KOL,111070678,Minitruck,33,0
01-01-2007,33,KOL,112890890,Minitruck,17,0
01-01-2007,24,KOL,321678765,Vikram,12,0
01-01-2007,17,NAG,112567456,Minitruck,48,11
01-01-2007,17,NAG,121679789,Vikram,13,0
01-01-2007,12,PUN,213070123,AutoRick,10,0
01-01-2007,24,KOL,111456678,Vikram,10,0
01-01-2007,47,GOA,222567456,Minitruck,1,0
01-01-2007,3,MUM,222679123,Vikram,7,1
01-01-2007,43,GOA,112890345,Minitruck,11,3
01-01-2007,17,NAG,321345987,Vikram,9,2
01-01-2007,33,KOL,232456234,AutoRick,3,0
01-01-2007,7,MUM,232345678,Minitruck,7,2
01-01-2007,12,PUN,333345456,Minitruck,48,12
01-01-2007,3,MUM,232890123,Minitruck,14,1
01-01-2007,41,GOA,333678234,Vikram,15,0
01-01-2007,3,MUM,112345789,Vikram,25,5
01-01-2007,17,NAG,123070567,AutoRick,15,3
01-01-2007,20,NAG,111679987,Minitruck,47,5
01-01-2007,3,MUM,222567345,Vikram,12,0
01-01-2007,16,NAG,121123678,AutoRick,2,0
01-01-2007,21,NAG,333123678,Minitruck,46,9
01-01-2007,17,NAG,343678345,Vikram,16,0
01-01-2007,3,MUM,213056567,Vikram,13,0
01-01-2007,28,KOL,123345678,Vikram,7,1
01-01-2007,21,NAG,121345456,AutoRick,5,1
01-01-2007,16,NAG,222056765,Vikram,20,0
01-01-2007,2,MUM,111456765,Vikram,25,5
01-01-2007,34,KOL,213070765,AutoRick,8,0
01-01-2007,16,NAG,222679789,Vikram,16,0
01-01-2007,49,GOA,111678678,Minitruck,43,9
01-01-2007,36,KOL,121567765,Vikram,23,5
01-01-2007,12,PUN,121679123,Vikram,7,1
